тип_массива,размер,алгоритм,threshold,время_мкс
random,20300,hybrid,30,537
random,20300,hybrid,50,555
reversed,20300,merge,0,434
reversed,20300,hybrid,5,328
reversed,20300,hybrid,10,332
reversed,20300,hybrid,20,313
reversed,20300,hybrid,30,295
reversed,20300,hybrid,50,332
almost,20300,merge,0,522
almost,20300,hybrid,5,439
almost,20300,hybrid,10,415
almost,20300,hybrid,20,399
almost,20300,hybrid,30,391
almost,20300,hybrid,50,372
random,20400,merge,0,684
random,20400,hybrid,5,583
random,20400,hybrid,10,568
random,20400,hybrid,20,565
random,20400,hybrid,30,537
random,20400,hybrid,50,562
reversed,20400,merge,0,422
reversed,20400,hybrid,5,330
reversed,20400,hybrid,10,310
reversed,20400,hybrid,20,317
reversed,20400,hybrid,30,298
reversed,20400,hybrid,50,336
almost,20400,merge,0,522
almost,20400,hybrid,5,436
almost,20400,hybrid,10,416
almost,20400,hybrid,20,393
almost,20400,hybrid,30,389
almost,20400,hybrid,50,372
random,20500,merge,0,683
random,20500,hybrid,5,582
random,20500,hybrid,10,571
random,20500,hybrid,20,566
random,20500,hybrid,30,540
random,20500,hybrid,50,564
reversed,20500,merge,0,429
reversed,20500,hybrid,5,328
reversed,20500,hybrid,10,326
reversed,20500,hybrid,20,316
reversed,20500,hybrid,30,299
reversed,20500,hybrid,50,328
almost,20500,merge,0,532
almost,20500,hybrid,5,443
almost,20500,hybrid,10,411
almost,20500,hybrid,20,397
almost,20500,hybrid,30,409
almost,20500,hybrid,50,374
random,20600,merge,0,694
random,20600,hybrid,5,590
random,20600,hybrid,10,574
random,20600,hybrid,20,581
random,20600,hybrid,30,548
random,20600,hybrid,50,567
reversed,20600,merge,0,439
reversed,20600,hybrid,5,333
reversed,20600,hybrid,10,329
reversed,20600,hybrid,20,339
reversed,20600,hybrid,30,315
reversed,20600,hybrid,50,352
almost,20600,merge,0,526
almost,20600,hybrid,5,437
almost,20600,hybrid,10,421
almost,20600,hybrid,20,396
almost,20600,hybrid,30,388
almost,20600,hybrid,50,373
random,20700,merge,0,695
random,20700,hybrid,5,595
random,20700,hybrid,10,581
random,20700,hybrid,20,579
random,20700,hybrid,30,567
random,20700,hybrid,50,561
reversed,20700,merge,0,430
reversed,20700,hybrid,5,356
reversed,20700,hybrid,10,331
reversed,20700,hybrid,20,318
reversed,20700,hybrid,30,308
reversed,20700,hybrid,50,336
almost,20700,merge,0,540
almost,20700,hybrid,5,446
almost,20700,hybrid,10,421
almost,20700,hybrid,20,406
almost,20700,hybrid,30,408
almost,20700,hybrid,50,376
random,20800,merge,0,707
random,20800,hybrid,5,603
random,20800,hybrid,10,579
random,20800,hybrid,20,588
random,20800,hybrid,30,560
random,20800,hybrid,50,574
reversed,20800,merge,0,452
reversed,20800,hybrid,5,352
reversed,20800,hybrid,10,327
reversed,20800,hybrid,20,315
reversed,20800,hybrid,30,322
reversed,20800,hybrid,50,360
almost,20800,merge,0,523
almost,20800,hybrid,5,447
almost,20800,hybrid,10,424
almost,20800,hybrid,20,404
almost,20800,hybrid,30,394
almost,20800,hybrid,50,383
random,20900,merge,0,706
random,20900,hybrid,5,619
random,20900,hybrid,10,609
random,20900,hybrid,20,594
random,20900,hybrid,30,580
random,20900,hybrid,50,569
reversed,20900,merge,0,444
reversed,20900,hybrid,5,369
reversed,20900,hybrid,10,338
reversed,20900,hybrid,20,328
reversed,20900,hybrid,30,355
reversed,20900,hybrid,50,358
almost,20900,merge,0,541
almost,20900,hybrid,5,452
almost,20900,hybrid,10,434
almost,20900,hybrid,20,422
almost,20900,hybrid,30,407
almost,20900,hybrid,50,396
random,21000,merge,0,702
random,21000,hybrid,5,614
random,21000,hybrid,10,623
random,21000,hybrid,20,591
random,21000,hybrid,30,600
random,21000,hybrid,50,610
reversed,21000,merge,0,454
reversed,21000,hybrid,5,357
reversed,21000,hybrid,10,336
reversed,21000,hybrid,20,329
reversed,21000,hybrid,30,323
reversed,21000,hybrid,50,363
almost,21000,merge,0,600
almost,21000,hybrid,5,471
almost,21000,hybrid,10,428
almost,21000,hybrid,20,441
almost,21000,hybrid,30,427
almost,21000,hybrid,50,381
random,21100,merge,0,810
random,21100,hybrid,5,671
random,21100,hybrid,10,637
random,21100,hybrid,20,663
random,21100,hybrid,30,580
random,21100,hybrid,50,601
reversed,21100,merge,0,446
reversed,21100,hybrid,5,353
reversed,21100,hybrid,10,353
reversed,21100,hybrid,20,367
reversed,21100,hybrid,30,321
reversed,21100,hybrid,50,350
almost,21100,merge,0,558
almost,21100,hybrid,5,475
almost,21100,hybrid,10,436
almost,21100,hybrid,20,415
almost,21100,hybrid,30,407
almost,21100,hybrid,50,395
random,21200,merge,0,717
random,21200,hybrid,5,633
random,21200,hybrid,10,608
random,21200,hybrid,20,605
random,21200,hybrid,30,586
random,21200,hybrid,50,601
reversed,21200,merge,0,437
reversed,21200,hybrid,5,366
reversed,21200,hybrid,10,341
reversed,21200,hybrid,20,330
reversed,21200,hybrid,30,325
reversed,21200,hybrid,50,335
almost,21200,merge,0,542
almost,21200,hybrid,5,465
almost,21200,hybrid,10,438
almost,21200,hybrid,20,419
almost,21200,hybrid,30,411
almost,21200,hybrid,50,381
random,21300,merge,0,737
random,21300,hybrid,5,647
random,21300,hybrid,10,626
random,21300,hybrid,20,593
random,21300,hybrid,30,584
random,21300,hybrid,50,591
reversed,21300,merge,0,452
reversed,21300,hybrid,5,360
reversed,21300,hybrid,10,345
reversed,21300,hybrid,20,335
reversed,21300,hybrid,30,330
reversed,21300,hybrid,50,354
almost,21300,merge,0,548
almost,21300,hybrid,5,468
almost,21300,hybrid,10,449
almost,21300,hybrid,20,431
almost,21300,hybrid,30,421
almost,21300,hybrid,50,387
random,21400,merge,0,723
random,21400,hybrid,5,640
random,21400,hybrid,10,610
random,21400,hybrid,20,604
random,21400,hybrid,30,590
random,21400,hybrid,50,586
reversed,21400,merge,0,450
reversed,21400,hybrid,5,352
reversed,21400,hybrid,10,332
reversed,21400,hybrid,20,342
reversed,21400,hybrid,30,334
reversed,21400,hybrid,50,343
almost,21400,merge,0,545
almost,21400,hybrid,5,464
almost,21400,hybrid,10,439
almost,21400,hybrid,20,427
almost,21400,hybrid,30,411
almost,21400,hybrid,50,379
random,21500,merge,0,723
random,21500,hybrid,5,634
random,21500,hybrid,10,611
random,21500,hybrid,20,597
random,21500,hybrid,30,604
random,21500,hybrid,50,586
reversed,21500,merge,0,457
reversed,21500,hybrid,5,371
reversed,21500,hybrid,10,336
reversed,21500,hybrid,20,338
reversed,21500,hybrid,30,326
reversed,21500,hybrid,50,353
almost,21500,merge,0,554
almost,21500,hybrid,5,468
almost,21500,hybrid,10,448
almost,21500,hybrid,20,435
almost,21500,hybrid,30,417
almost,21500,hybrid,50,391
random,21600,merge,0,727
random,21600,hybrid,5,641
random,21600,hybrid,10,609
random,21600,hybrid,20,602
random,21600,hybrid,30,607
random,21600,hybrid,50,589
reversed,21600,merge,0,462
reversed,21600,hybrid,5,365
reversed,21600,hybrid,10,363
reversed,21600,hybrid,20,336
reversed,21600,hybrid,30,338
reversed,21600,hybrid,50,347
almost,21600,merge,0,553
almost,21600,hybrid,5,472
almost,21600,hybrid,10,444
almost,21600,hybrid,20,439
almost,21600,hybrid,30,418
almost,21600,hybrid,50,383
random,21700,merge,0,733
random,21700,hybrid,5,647
random,21700,hybrid,10,623
random,21700,hybrid,20,614
random,21700,hybrid,30,597
random,21700,hybrid,50,598
reversed,21700,merge,0,459
reversed,21700,hybrid,5,370
reversed,21700,hybrid,10,343
reversed,21700,hybrid,20,335
reversed,21700,hybrid,30,333
reversed,21700,hybrid,50,345
almost,21700,merge,0,562
almost,21700,hybrid,5,477
almost,21700,hybrid,10,455
almost,21700,hybrid,20,442
almost,21700,hybrid,30,424
almost,21700,hybrid,50,395
random,21800,merge,0,748
random,21800,hybrid,5,675
random,21800,hybrid,10,630
random,21800,hybrid,20,648
random,21800,hybrid,30,596
random,21800,hybrid,50,610
reversed,21800,merge,0,473
reversed,21800,hybrid,5,381
reversed,21800,hybrid,10,353
reversed,21800,hybrid,20,365
reversed,21800,hybrid,30,330
reversed,21800,hybrid,50,352
almost,21800,merge,0,571
almost,21800,hybrid,5,492
almost,21800,hybrid,10,460
almost,21800,hybrid,20,444
almost,21800,hybrid,30,431
almost,21800,hybrid,50,404
random,21900,merge,0,761
random,21900,hybrid,5,665
random,21900,hybrid,10,624
random,21900,hybrid,20,630
random,21900,hybrid,30,622
random,21900,hybrid,50,615
reversed,21900,merge,0,471
reversed,21900,hybrid,5,381
reversed,21900,hybrid,10,360
reversed,21900,hybrid,20,366
reversed,21900,hybrid,30,329
reversed,21900,hybrid,50,361
almost,21900,merge,0,571
almost,21900,hybrid,5,490
almost,21900,hybrid,10,462
almost,21900,hybrid,20,445
almost,21900,hybrid,30,435
almost,21900,hybrid,50,404
random,22000,merge,0,758
random,22000,hybrid,5,665
random,22000,hybrid,10,646
random,22000,hybrid,20,650
random,22000,hybrid,30,602
random,22000,hybrid,50,610
reversed,22000,merge,0,459
reversed,22000,hybrid,5,374
reversed,22000,hybrid,10,357
reversed,22000,hybrid,20,356
reversed,22000,hybrid,30,339
reversed,22000,hybrid,50,358
almost,22000,merge,0,571
almost,22000,hybrid,5,480
almost,22000,hybrid,10,460
almost,22000,hybrid,20,438
almost,22000,hybrid,30,426
almost,22000,hybrid,50,396
random,22100,merge,0,764
random,22100,hybrid,5,666
random,22100,hybrid,10,635
random,22100,hybrid,20,632
random,22100,hybrid,30,623
random,22100,hybrid,50,605
reversed,22100,merge,0,477
reversed,22100,hybrid,5,405
reversed,22100,hybrid,10,358
reversed,22100,hybrid,20,357
reversed,22100,hybrid,30,341
reversed,22100,hybrid,50,368
almost,22100,merge,0,584
almost,22100,hybrid,5,490
almost,22100,hybrid,10,472
almost,22100,hybrid,20,456
almost,22100,hybrid,30,432
almost,22100,hybrid,50,405
random,22200,merge,0,761
random,22200,hybrid,5,668
random,22200,hybrid,10,639
random,22200,hybrid,20,648
random,22200,hybrid,30,625
random,22200,hybrid,50,609
reversed,22200,merge,0,475
reversed,22200,hybrid,5,391
reversed,22200,hybrid,10,356
reversed,22200,hybrid,20,349
reversed,22200,hybrid,30,349
reversed,22200,hybrid,50,386
almost,22200,merge,0,585
almost,22200,hybrid,5,492
almost,22200,hybrid,10,473
almost,22200,hybrid,20,449
almost,22200,hybrid,30,448
almost,22200,hybrid,50,415
random,22300,merge,0,770
random,22300,hybrid,5,685
random,22300,hybrid,10,653
random,22300,hybrid,20,680
random,22300,hybrid,30,624
random,22300,hybrid,50,626
reversed,22300,merge,0,473
reversed,22300,hybrid,5,388
reversed,22300,hybrid,10,363
reversed,22300,hybrid,20,350
reversed,22300,hybrid,30,343
reversed,22300,hybrid,50,366
almost,22300,merge,0,580
almost,22300,hybrid,5,502
almost,22300,hybrid,10,478
almost,22300,hybrid,20,454
almost,22300,hybrid,30,437
almost,22300,hybrid,50,438
random,22400,merge,0,768
random,22400,hybrid,5,669
random,22400,hybrid,10,670
random,22400,hybrid,20,692
random,22400,hybrid,30,626
random,22400,hybrid,50,613
reversed,22400,merge,0,470
reversed,22400,hybrid,5,388
reversed,22400,hybrid,10,378
reversed,22400,hybrid,20,388
reversed,22400,hybrid,30,349
reversed,22400,hybrid,50,366
almost,22400,merge,0,577
almost,22400,hybrid,5,504
almost,22400,hybrid,10,474
almost,22400,hybrid,20,460
almost,22400,hybrid,30,456
almost,22400,hybrid,50,412
random,22500,merge,0,770
random,22500,hybrid,5,682
random,22500,hybrid,10,660
random,22500,hybrid,20,706
random,22500,hybrid,30,641
random,22500,hybrid,50,641
reversed,22500,merge,0,476
reversed,22500,hybrid,5,399
reversed,22500,hybrid,10,371
reversed,22500,hybrid,20,376
reversed,22500,hybrid,30,332
reversed,22500,hybrid,50,402
almost,22500,merge,0,573
almost,22500,hybrid,5,496
almost,22500,hybrid,10,486
almost,22500,hybrid,20,456
almost,22500,hybrid,30,457
almost,22500,hybrid,50,430
random,22600,merge,0,774
random,22600,hybrid,5,699
random,22600,hybrid,10,684
random,22600,hybrid,20,674
random,22600,hybrid,30,640
random,22600,hybrid,50,625
reversed,22600,merge,0,477
reversed,22600,hybrid,5,403
reversed,22600,hybrid,10,389
reversed,22600,hybrid,20,377
reversed,22600,hybrid,30,328
reversed,22600,hybrid,50,377
almost,22600,merge,0,582
almost,22600,hybrid,5,506
almost,22600,hybrid,10,489
almost,22600,hybrid,20,463
almost,22600,hybrid,30,474
almost,22600,hybrid,50,421
random,22700,merge,0,781
random,22700,hybrid,5,683
random,22700,hybrid,10,682
random,22700,hybrid,20,687
random,22700,hybrid,30,656
random,22700,hybrid,50,634
reversed,22700,merge,0,480
reversed,22700,hybrid,5,403
reversed,22700,hybrid,10,375
reversed,22700,hybrid,20,598
reversed,22700,hybrid,30,738
reversed,22700,hybrid,50,933
almost,22700,merge,0,737
almost,22700,hybrid,5,540
almost,22700,hybrid,10,508
almost,22700,hybrid,20,511
almost,22700,hybrid,30,474
almost,22700,hybrid,50,458
random,22800,merge,0,810
random,22800,hybrid,5,705
random,22800,hybrid,10,674
random,22800,hybrid,20,669
random,22800,hybrid,30,633
random,22800,hybrid,50,670
reversed,22800,merge,0,486
reversed,22800,hybrid,5,405
reversed,22800,hybrid,10,374
reversed,22800,hybrid,20,349
reversed,22800,hybrid,30,329
reversed,22800,hybrid,50,391
almost,22800,merge,0,591
almost,22800,hybrid,5,559
almost,22800,hybrid,10,499
almost,22800,hybrid,20,466
almost,22800,hybrid,30,443
almost,22800,hybrid,50,408
random,22900,merge,0,852
random,22900,hybrid,5,704
random,22900,hybrid,10,684
random,22900,hybrid,20,660
random,22900,hybrid,30,638
random,22900,hybrid,50,672
reversed,22900,merge,0,487
reversed,22900,hybrid,5,410
reversed,22900,hybrid,10,360
reversed,22900,hybrid,20,350
reversed,22900,hybrid,30,353
reversed,22900,hybrid,50,390
almost,22900,merge,0,607
almost,22900,hybrid,5,557
almost,22900,hybrid,10,501
almost,22900,hybrid,20,468
almost,22900,hybrid,30,443
almost,22900,hybrid,50,412
random,23000,merge,0,853
random,23000,hybrid,5,783
random,23000,hybrid,10,702
random,23000,hybrid,20,693
random,23000,hybrid,30,687
random,23000,hybrid,50,742
reversed,23000,merge,0,521
reversed,23000,hybrid,5,411
reversed,23000,hybrid,10,379
reversed,23000,hybrid,20,361
reversed,23000,hybrid,30,366
reversed,23000,hybrid,50,400
almost,23000,merge,0,620
almost,23000,hybrid,5,619
almost,23000,hybrid,10,511
almost,23000,hybrid,20,474
almost,23000,hybrid,30,455
almost,23000,hybrid,50,441
random,23100,merge,0,962
random,23100,hybrid,5,739
random,23100,hybrid,10,688
random,23100,hybrid,20,738
random,23100,hybrid,30,733
random,23100,hybrid,50,707
reversed,23100,merge,0,497
reversed,23100,hybrid,5,445
reversed,23100,hybrid,10,386
reversed,23100,hybrid,20,371
reversed,23100,hybrid,30,362
reversed,23100,hybrid,50,486
almost,23100,merge,0,649
almost,23100,hybrid,5,534
almost,23100,hybrid,10,533
almost,23100,hybrid,20,497
almost,23100,hybrid,30,572
almost,23100,hybrid,50,509
random,23200,merge,0,845
random,23200,hybrid,5,728
random,23200,hybrid,10,684
random,23200,hybrid,20,731
random,23200,hybrid,30,670
random,23200,hybrid,50,650
reversed,23200,merge,0,501
reversed,23200,hybrid,5,415
reversed,23200,hybrid,10,380
reversed,23200,hybrid,20,429
reversed,23200,hybrid,30,356
reversed,23200,hybrid,50,400
almost,23200,merge,0,607
almost,23200,hybrid,5,540
almost,23200,hybrid,10,503
almost,23200,hybrid,20,495
almost,23200,hybrid,30,459
almost,23200,hybrid,50,422
random,23300,merge,0,816
random,23300,hybrid,5,732
random,23300,hybrid,10,726
random,23300,hybrid,20,668
random,23300,hybrid,30,669
random,23300,hybrid,50,659
reversed,23300,merge,0,498
reversed,23300,hybrid,5,431
reversed,23300,hybrid,10,416
reversed,23300,hybrid,20,383
reversed,23300,hybrid,30,366
reversed,23300,hybrid,50,421
almost,23300,merge,0,609
almost,23300,hybrid,5,524
almost,23300,hybrid,10,508
almost,23300,hybrid,20,496
almost,23300,hybrid,30,457
almost,23300,hybrid,50,429
random,23400,merge,0,813
random,23400,hybrid,5,759
random,23400,hybrid,10,729
random,23400,hybrid,20,684
random,23400,hybrid,30,663
random,23400,hybrid,50,651
reversed,23400,merge,0,510
reversed,23400,hybrid,5,441
reversed,23400,hybrid,10,375
reversed,23400,hybrid,20,381
reversed,23400,hybrid,30,360
reversed,23400,hybrid,50,409
almost,23400,merge,0,604
almost,23400,hybrid,5,542
almost,23400,hybrid,10,530
almost,23400,hybrid,20,474
almost,23400,hybrid,30,457
almost,23400,hybrid,50,429
random,23500,merge,0,815
random,23500,hybrid,5,820
random,23500,hybrid,10,716
random,23500,hybrid,20,661
random,23500,hybrid,30,668
random,23500,hybrid,50,667
reversed,23500,merge,0,538
reversed,23500,hybrid,5,408
reversed,23500,hybrid,10,375
reversed,23500,hybrid,20,365
reversed,23500,hybrid,30,347
reversed,23500,hybrid,50,390
almost,23500,merge,0,606
almost,23500,hybrid,5,560
almost,23500,hybrid,10,510
almost,23500,hybrid,20,475
almost,23500,hybrid,30,451
almost,23500,hybrid,50,425
random,23600,merge,0,827
random,23600,hybrid,5,793
random,23600,hybrid,10,683
random,23600,hybrid,20,681
random,23600,hybrid,30,671
random,23600,hybrid,50,668
reversed,23600,merge,0,522
reversed,23600,hybrid,5,419
reversed,23600,hybrid,10,378
reversed,23600,hybrid,20,366
reversed,23600,hybrid,30,350
reversed,23600,hybrid,50,417
almost,23600,merge,0,611
almost,23600,hybrid,5,525
almost,23600,hybrid,10,500
almost,23600,hybrid,20,476
almost,23600,hybrid,30,455
almost,23600,hybrid,50,427
random,23700,merge,0,825
random,23700,hybrid,5,741
random,23700,hybrid,10,687
random,23700,hybrid,20,692
random,23700,hybrid,30,680
random,23700,hybrid,50,660
reversed,23700,merge,0,510
reversed,23700,hybrid,5,425
reversed,23700,hybrid,10,385
reversed,23700,hybrid,20,373
reversed,23700,hybrid,30,352
reversed,23700,hybrid,50,403
almost,23700,merge,0,617
almost,23700,hybrid,5,537
almost,23700,hybrid,10,511
almost,23700,hybrid,20,488
almost,23700,hybrid,30,461
almost,23700,hybrid,50,432
random,23800,merge,0,833
random,23800,hybrid,5,736
random,23800,hybrid,10,687
random,23800,hybrid,20,696
random,23800,hybrid,30,678
random,23800,hybrid,50,673
reversed,23800,merge,0,503
reversed,23800,hybrid,5,427
reversed,23800,hybrid,10,381
reversed,23800,hybrid,20,375
reversed,23800,hybrid,30,355
reversed,23800,hybrid,50,416
almost,23800,merge,0,618
almost,23800,hybrid,5,538
almost,23800,hybrid,10,505
almost,23800,hybrid,20,479
almost,23800,hybrid,30,455
almost,23800,hybrid,50,427
random,23900,merge,0,906
random,23900,hybrid,5,758
random,23900,hybrid,10,708
random,23900,hybrid,20,705
random,23900,hybrid,30,722
random,23900,hybrid,50,679
reversed,23900,merge,0,503
reversed,23900,hybrid,5,430
reversed,23900,hybrid,10,387
reversed,23900,hybrid,20,373
reversed,23900,hybrid,30,353
reversed,23900,hybrid,50,429
almost,23900,merge,0,648
almost,23900,hybrid,5,550
almost,23900,hybrid,10,513
almost,23900,hybrid,20,495
almost,23900,hybrid,30,468
almost,23900,hybrid,50,434
random,24000,merge,0,906
random,24000,hybrid,5,765
random,24000,hybrid,10,727
random,24000,hybrid,20,725
random,24000,hybrid,30,721
random,24000,hybrid,50,675
reversed,24000,merge,0,512
reversed,24000,hybrid,5,436
reversed,24000,hybrid,10,395
reversed,24000,hybrid,20,381
reversed,24000,hybrid,30,423
reversed,24000,hybrid,50,482
almost,24000,merge,0,637
almost,24000,hybrid,5,552
almost,24000,hybrid,10,514
almost,24000,hybrid,20,484
almost,24000,hybrid,30,495
almost,24000,hybrid,50,454
random,24100,merge,0,845
random,24100,hybrid,5,762
random,24100,hybrid,10,764
random,24100,hybrid,20,740
random,24100,hybrid,30,675
random,24100,hybrid,50,674
reversed,24100,merge,0,515
reversed,24100,hybrid,5,443
reversed,24100,hybrid,10,417
reversed,24100,hybrid,20,380
reversed,24100,hybrid,30,355
reversed,24100,hybrid,50,412
almost,24100,merge,0,633
almost,24100,hybrid,5,554
almost,24100,hybrid,10,529
almost,24100,hybrid,20,520
almost,24100,hybrid,30,458
almost,24100,hybrid,50,433
random,24200,merge,0,844
random,24200,hybrid,5,784
random,24200,hybrid,10,792
random,24200,hybrid,20,710
random,24200,hybrid,30,674
random,24200,hybrid,50,688
reversed,24200,merge,0,535
reversed,24200,hybrid,5,434
reversed,24200,hybrid,10,386
reversed,24200,hybrid,20,386
reversed,24200,hybrid,30,372
reversed,24200,hybrid,50,428
almost,24200,merge,0,640
almost,24200,hybrid,5,586
almost,24200,hybrid,10,540
almost,24200,hybrid,20,502
almost,24200,hybrid,30,474
almost,24200,hybrid,50,448
random,24300,merge,0,872
random,24300,hybrid,5,851
random,24300,hybrid,10,733
random,24300,hybrid,20,718
random,24300,hybrid,30,683
random,24300,hybrid,50,699
reversed,24300,merge,0,528
reversed,24300,hybrid,5,437
reversed,24300,hybrid,10,384
reversed,24300,hybrid,20,383
reversed,24300,hybrid,30,372
reversed,24300,hybrid,50,417
almost,24300,merge,0,690
almost,24300,hybrid,5,603
almost,24300,hybrid,10,539
almost,24300,hybrid,20,493
almost,24300,hybrid,30,468
almost,24300,hybrid,50,439
random,24400,merge,0,928
random,24400,hybrid,5,757
random,24400,hybrid,10,737
random,24400,hybrid,20,711
random,24400,hybrid,30,722
random,24400,hybrid,50,720
reversed,24400,merge,0,513
reversed,24400,hybrid,5,441
reversed,24400,hybrid,10,393
reversed,24400,hybrid,20,382
reversed,24400,hybrid,30,382
reversed,24400,hybrid,50,481
almost,24400,merge,0,650
almost,24400,hybrid,5,565
almost,24400,hybrid,10,539
almost,24400,hybrid,20,500
almost,24400,hybrid,30,477
almost,24400,hybrid,50,485
random,24500,merge,0,848
random,24500,hybrid,5,766
random,24500,hybrid,10,735
random,24500,hybrid,20,753
random,24500,hybrid,30,697
random,24500,hybrid,50,692
reversed,24500,merge,0,513
reversed,24500,hybrid,5,429
reversed,24500,hybrid,10,392
reversed,24500,hybrid,20,439
reversed,24500,hybrid,30,394
reversed,24500,hybrid,50,439
almost,24500,merge,0,640
almost,24500,hybrid,5,577
almost,24500,hybrid,10,531
almost,24500,hybrid,20,519
almost,24500,hybrid,30,498
almost,24500,hybrid,50,443
random,24600,merge,0,850
random,24600,hybrid,5,761
random,24600,hybrid,10,761
random,24600,hybrid,20,706
random,24600,hybrid,30,699
random,24600,hybrid,50,690
reversed,24600,merge,0,520
reversed,24600,hybrid,5,466
reversed,24600,hybrid,10,395
reversed,24600,hybrid,20,375
reversed,24600,hybrid,30,365
reversed,24600,hybrid,50,433
almost,24600,merge,0,641
almost,24600,hybrid,5,581
almost,24600,hybrid,10,576
almost,24600,hybrid,20,505
almost,24600,hybrid,30,470
almost,24600,hybrid,50,451
random,24700,merge,0,859
random,24700,hybrid,5,795
random,24700,hybrid,10,716
random,24700,hybrid,20,717
random,24700,hybrid,30,702
random,24700,hybrid,50,743
reversed,24700,merge,0,521
reversed,24700,hybrid,5,434
reversed,24700,hybrid,10,392
reversed,24700,hybrid,20,381
reversed,24700,hybrid,30,380
reversed,24700,hybrid,50,425
almost,24700,merge,0,669
almost,24700,hybrid,5,587
almost,24700,hybrid,10,532
almost,24700,hybrid,20,502
almost,24700,hybrid,30,482
almost,24700,hybrid,50,443
random,24800,merge,0,890
random,24800,hybrid,5,771
random,24800,hybrid,10,729
random,24800,hybrid,20,725
random,24800,hybrid,30,766
random,24800,hybrid,50,695
reversed,24800,merge,0,525
reversed,24800,hybrid,5,446
reversed,24800,hybrid,10,392
reversed,24800,hybrid,20,381
reversed,24800,hybrid,30,379
reversed,24800,hybrid,50,467
almost,24800,merge,0,652
almost,24800,hybrid,5,582
almost,24800,hybrid,10,551
almost,24800,hybrid,20,510
almost,24800,hybrid,30,488
almost,24800,hybrid,50,482
random,24900,merge,0,860
random,24900,hybrid,5,787
random,24900,hybrid,10,756
random,24900,hybrid,20,784
random,24900,hybrid,30,703
random,24900,hybrid,50,701
reversed,24900,merge,0,529
reversed,24900,hybrid,5,442
reversed,24900,hybrid,10,437
reversed,24900,hybrid,20,416
reversed,24900,hybrid,30,389
reversed,24900,hybrid,50,458
almost,24900,merge,0,679
almost,24900,hybrid,5,603
almost,24900,hybrid,10,613
almost,24900,hybrid,20,584
almost,24900,hybrid,30,495
almost,24900,hybrid,50,463
random,25000,merge,0,883
random,25000,hybrid,5,876
random,25000,hybrid,10,758
random,25000,hybrid,20,721
random,25000,hybrid,30,710
random,25000,hybrid,50,758
reversed,25000,merge,0,575
reversed,25000,hybrid,5,440
reversed,25000,hybrid,10,408
reversed,25000,hybrid,20,390
reversed,25000,hybrid,30,389
reversed,25000,hybrid,50,444
almost,25000,merge,0,698
almost,25000,hybrid,5,606
almost,25000,hybrid,10,558
almost,25000,hybrid,20,523
almost,25000,hybrid,30,486
almost,25000,hybrid,50,463
random,25100,merge,0,913
random,25100,hybrid,5,780
random,25100,hybrid,10,744
random,25100,hybrid,20,737
random,25100,hybrid,30,766
random,25100,hybrid,50,699
reversed,25100,merge,0,522
reversed,25100,hybrid,5,445
reversed,25100,hybrid,10,393
reversed,25100,hybrid,20,392
reversed,25100,hybrid,30,402
reversed,25100,hybrid,50,467
almost,25100,merge,0,665
almost,25100,hybrid,5,590
almost,25100,hybrid,10,558
almost,25100,hybrid,20,519
almost,25100,hybrid,30,484
almost,25100,hybrid,50,467
random,25200,merge,0,876
random,25200,hybrid,5,788
random,25200,hybrid,10,730
random,25200,hybrid,20,737
random,25200,hybrid,30,716
random,25200,hybrid,50,708
reversed,25200,merge,0,525
reversed,25200,hybrid,5,454
reversed,25200,hybrid,10,403
reversed,25200,hybrid,20,395
reversed,25200,hybrid,30,388
reversed,25200,hybrid,50,443
almost,25200,merge,0,661
almost,25200,hybrid,5,600
almost,25200,hybrid,10,584
almost,25200,hybrid,20,514
almost,25200,hybrid,30,481
almost,25200,hybrid,50,460
random,25300,merge,0,924
random,25300,hybrid,5,812
random,25300,hybrid,10,756
random,25300,hybrid,20,732
random,25300,hybrid,30,727
random,25300,hybrid,50,747
reversed,25300,merge,0,543
reversed,25300,hybrid,5,453
reversed,25300,hybrid,10,417
reversed,25300,hybrid,20,387
reversed,25300,hybrid,30,410
reversed,25300,hybrid,50,471
almost,25300,merge,0,727
almost,25300,hybrid,5,600
almost,25300,hybrid,10,563
almost,25300,hybrid,20,531
almost,25300,hybrid,30,499
almost,25300,hybrid,50,489
random,25400,merge,0,900
random,25400,hybrid,5,791
random,25400,hybrid,10,761
random,25400,hybrid,20,807
random,25400,hybrid,30,729
random,25400,hybrid,50,711
reversed,25400,merge,0,527
reversed,25400,hybrid,5,441
reversed,25400,hybrid,10,423
reversed,25400,hybrid,20,413
reversed,25400,hybrid,30,390
reversed,25400,hybrid,50,458
almost,25400,merge,0,672
almost,25400,hybrid,5,596
almost,25400,hybrid,10,565
almost,25400,hybrid,20,551
almost,25400,hybrid,30,504
almost,25400,hybrid,50,466
random,25500,merge,0,883
random,25500,hybrid,5,841
random,25500,hybrid,10,841
random,25500,hybrid,20,740
random,25500,hybrid,30,722
random,25500,hybrid,50,726
reversed,25500,merge,0,543
reversed,25500,hybrid,5,501
reversed,25500,hybrid,10,418
reversed,25500,hybrid,20,390
reversed,25500,hybrid,30,399
reversed,25500,hybrid,50,464
almost,25500,merge,0,672
almost,25500,hybrid,5,616
almost,25500,hybrid,10,594
almost,25500,hybrid,20,526
almost,25500,hybrid,30,503
almost,25500,hybrid,50,478
random,25600,merge,0,942
random,25600,hybrid,5,810
