тип_массива,размер,алгоритм,threshold,время_мкс
almost,1500,hybrid,20,32
almost,1500,hybrid,30,29
almost,1500,hybrid,50,25
random,1600,merge,0,63
random,1600,hybrid,5,55
random,1600,hybrid,10,51
random,1600,hybrid,20,48
random,1600,hybrid,30,47
random,1600,hybrid,50,48
reversed,1600,merge,0,42
reversed,1600,hybrid,5,36
reversed,1600,hybrid,10,32
reversed,1600,hybrid,20,32
reversed,1600,hybrid,30,31
reversed,1600,hybrid,50,34
almost,1600,merge,0,50
almost,1600,hybrid,5,42
almost,1600,hybrid,10,35
almost,1600,hybrid,20,30
almost,1600,hybrid,30,26
almost,1600,hybrid,50,23
random,1700,merge,0,61
random,1700,hybrid,5,53
random,1700,hybrid,10,48
random,1700,hybrid,20,46
random,1700,hybrid,30,45
random,1700,hybrid,50,41
reversed,1700,merge,0,41
reversed,1700,hybrid,5,33
reversed,1700,hybrid,10,30
reversed,1700,hybrid,20,31
reversed,1700,hybrid,30,29
reversed,1700,hybrid,50,31
almost,1700,merge,0,48
almost,1700,hybrid,5,40
almost,1700,hybrid,10,35
almost,1700,hybrid,20,32
almost,1700,hybrid,30,28
almost,1700,hybrid,50,27
random,1800,merge,0,66
random,1800,hybrid,5,56
random,1800,hybrid,10,53
random,1800,hybrid,20,51
random,1800,hybrid,30,49
random,1800,hybrid,50,42
reversed,1800,merge,0,40
reversed,1800,hybrid,5,32
reversed,1800,hybrid,10,29
reversed,1800,hybrid,20,30
reversed,1800,hybrid,30,30
reversed,1800,hybrid,50,30
almost,1800,merge,0,48
almost,1800,hybrid,5,40
almost,1800,hybrid,10,35
almost,1800,hybrid,20,32
almost,1800,hybrid,30,29
almost,1800,hybrid,50,28
random,1900,merge,0,65
random,1900,hybrid,5,55
random,1900,hybrid,10,52
random,1900,hybrid,20,49
random,1900,hybrid,30,48
random,1900,hybrid,50,43
reversed,1900,merge,0,42
reversed,1900,hybrid,5,34
reversed,1900,hybrid,10,32
reversed,1900,hybrid,20,32
reversed,1900,hybrid,30,33
reversed,1900,hybrid,50,32
almost,1900,merge,0,51
almost,1900,hybrid,5,41
almost,1900,hybrid,10,38
almost,1900,hybrid,20,32
almost,1900,hybrid,30,29
almost,1900,hybrid,50,25
random,2000,merge,0,54
random,2000,hybrid,5,52
random,2000,hybrid,10,50
random,2000,hybrid,20,49
random,2000,hybrid,30,44
random,2000,hybrid,50,48
reversed,2000,merge,0,41
reversed,2000,hybrid,5,33
reversed,2000,hybrid,10,30
reversed,2000,hybrid,20,30
reversed,2000,hybrid,30,29
reversed,2000,hybrid,50,33
almost,2000,merge,0,49
